starting_stakes,start_pc,rake,win_rate,matches,ruin_prob,mean_end,median_end,p10_end,p90_end
2.0,100,0.1,0.5,20,0.82013,60.684333333333335,30.0,0.0,180.0
2.0,100,0.1,0.55,20,0.70917,95.6885,40.0,0.0,360.0
2.0,100,0.1,0.58,20,0.6355033333333333,123.83873333333334,40.0,0.0,360.0
2.0,100,0.1,0.6,20,0.5829333333333333,145.95163333333332,40.0,0.0,450.0
3.0,150,0.1,0.5,20,0.6854833333333333,92.91593333333333,40.0,0.0,320.0
3.0,150,0.1,0.55,20,0.5414333333333333,143.325,40.0,0.0,410.0
3.0,150,0.1,0.58,20,0.45059333333333335,182.02553333333333,140.0,10.0,410.0
3.0,150,0.1,0.6,20,0.3948566666666667,210.0709,230.0,10.0,500.0
4.0,200,0.1,0.5,20,0.56575,129.08976666666666,40.0,0.0,370.0
4.0,200,0.1,0.55,20,0.40453333333333336,192.4155,190.0,10.0,460.0
4.0,200,0.1,0.58,20,0.31449,237.35693333333333,190.0,20.0,460.0
4.0,200,0.1,0.6,20,0.2613433333333333,269.4499666666667,280.0,20.0,550.0
5.0,250,0.1,0.5,20,0.4270366666666667,168.85553333333334,150.0,10.0,420.0
5.0,250,0.1,0.55,20,0.27584,241.3001,240.0,20.0,510.0
5.0,250,0.1,0.58,20,0.20151666666666668,289.9898333333333,330.0,30.0,510.0
5.0,250,0.1,0.6,20,0.15811333333333333,324.5161,330.0,30.0,600.0
6.0,300,0.1,0.5,20,0.3286,211.4251,200.0,20.0,470.0
6.0,300,0.1,0.55,20,0.19499,290.2284666666667,290.0,30.0,560.0
6.0,300,0.1,0.58,20,0.13114333333333333,342.0268,380.0,40.0,560.0
6.0,300,0.1,0.6,20,0.09822333333333333,377.37166666666667,380.0,110.0,650.0
7.0,350,0.1,0.5,20,0.22176666666666667,256.78246666666666,250.0,30.0,520.0
7.0,350,0.1,0.55,20,0.11724,340.2956,340.0,40.0,610.0
7.0,350,0.1,0.58,20,0.07444666666666666,393.32863333333336,430.0,160.0,610.0
7.0,350,0.1,0.6,20,0.05329333333333333,429.35153333333335,430.0,160.0,700.0
8.0,400,0.1,0.5,20,0.16193666666666667,303.018,300.0,30.0,570.0
8.0,400,0.1,0.55,20,0.07707666666666667,389.9977666666667,390.0,120.0,660.0
8.0,400,0.1,0.58,20,0.04543666666666667,443.1591666666667,480.0,210.0,660.0
8.0,400,0.1,0.6,20,0.030986666666666666,479.1254,480.0,210.0,750.0
9.0,450,0.1,0.5,20,0.09304333333333334,351.9882333333333,350.0,80.0,620.0
9.0,450,0.1,0.55,20,0.03981333333333333,439.8912,440.0,170.0,710.0
9.0,450,0.1,0.58,20,0.021723333333333334,493.7153,530.0,260.0,710.0
9.0,450,0.1,0.6,20,0.01429,529.6743,530.0,260.0,800.0
10.0,500,0.1,0.5,20,0.06347,400.4758,400.0,130.0,670.0
10.0,500,0.1,0.55,20,0.02402666666666667,491.3026,490.0,220.0,760.0
10.0,500,0.1,0.58,20,0.012406666666666667,543.7563,580.0,310.0,760.0
10.0,500,0.1,0.6,20,0.007636666666666667,579.7517,580.0,310.0,850.0
11.0,550,0.1,0.5,20,0.026616666666666667,449.7999,450.0,180.0,720.0
11.0,550,0.1,0.55,20,0.009186666666666666,539.3520333333333,540.0,270.0,810.0
11.0,550,0.1,0.58,20,0.004186666666666667,594.1159666666666,630.0,360.0,810.0
11.0,550,0.1,0.6,20,0.0024666666666666665,629.4886333333334,630.0,360.0,900.0
12.0,600,0.1,0.5,20,0.011776666666666666,500.0927,500.0,230.0,770.0
12.0,600,0.1,0.55,20,0.0033966666666666668,590.6511333333333,590.0,320.0,860.0
12.0,600,0.1,0.58,20,0.0015066666666666666,643.1361,680.0,410.0,860.0
12.0,600,0.1,0.6,20,0.0009466666666666666,679.7759,680.0,410.0,950.0
