week,money_supply,grants_cumulative,arena_sink_cumulative,league_rake_cumulative,median_balance,p10_balance,p90_balance,pct_below_bronze_stake
1,2457709.333333333,800000.0,167180.66666666698,175110.0,251.33333333333331,22.0,408.0,0.1379
2,2954331.333333333,1597047.3333333333,308416.0000000007,334300.0,302.66666666666663,11.0,526.0,0.1612
3,3430567.666666667,2383913.333333333,462445.6666666677,490900.0,353.99999999999994,11.0,628.0,0.1668
4,3905443.3333333335,3156593.333333333,603590.0000000014,647560.0,402.0,12.0,708.0,0.1671
5,4347993.0,3901916.333333333,748323.3333333347,805600.0,456.6666666666666,12.0,771.3333333333334,0.1572
6,4763322.333333334,4613753.666666666,883641.3333333347,966790.0,507.9999999999999,13.0,824.6666666666669,0.1495
7,5128001.666666667,5286211.333333333,1029269.6666666676,1128940.0,559.3333333333333,14.0,862.0,0.1453
8,5454506.666666667,5912456.0,1164279.3333333333,1293670.0,600.0,14.0,894.0000000000001,0.1373
9,5727730.666666667,6499503.0,1312732.333333334,1459040.0,633.3333333333334,15.0,922.6666666666667,0.1326
10,5976062.0,7049415.666666666,1446693.666666667,1626660.0,671.3333333333334,16.666666666666856,938.0,0.1258
11,6184584.000000001,7568260.999999999,1588847.0000000007,1794830.0,690.0,18.00000000000034,968.0000000000002,0.1219
12,6357490.000000001,8058352.666666666,1737042.666666667,1963820.0,710.0,18.666666666667076,988.0000000000002,0.1204
13,6512835.000000002,8523293.0,1876228.0,2134230.0,722.6666666666667,24.9000000000001,1001.3333333333335,0.1163
14,6634566.0,8969590.0,2030713.9999999993,2304310.0,742.6666666666667,19.999999999999773,1024.0,0.1156
15,6744904.666666667,9401190.0,2182295.3333333326,2473990.0,746.0,21.0,1039.3333333333335,0.1151
16,6843723.000000001,9819871.0,2331338.0,2644810.0,758.6666666666669,26.96666666666676,1049.3333333333335,0.1129
17,6947132.333333334,10227100.666666666,2463128.3333333335,2816840.0,770.0,32.96666666666669,1056.133333333334,0.1093
18,7024283.0,10623988.0,2609875.0,2989830.0,771.3333333333334,43.0,1072.0,0.1051
19,7089912.666666668,11012685.333333334,2759052.6666666656,3163720.0,771.3333333333334,45.0,1078.0000000000002,0.1042
20,7148518.000000001,11394061.666666668,2907523.6666666665,3338020.0,771.666666666667,49.0,1093.0333333333335,0.1002
21,7201151.333333334,11770036.000000002,3056854.666666665,3512030.0,775.666666666667,46.966666666666754,1106.7333333333336,0.1019
22,7222866.333333334,12141660.000000002,3233653.6666666633,3685140.0,783.3333333333334,44.0,1110.0,0.104
23,7270630.0,12506642.333333336,3377332.3333333307,3858680.0,783.6666666666669,46.0,1114.0,0.1024
24,7313228.000000001,12871207.333333336,3524589.3333333307,4033390.0,788.0,55.80000000000024,1118.666666666666,0.0995
25,7344159.333333334,13231557.000000002,3680137.666666664,4207260.0,791.3333333333339,47.0,1128.0,0.1021
26,7370428.333333334,13588776.333333336,3837327.999999996,4381020.0,788.6666666666666,50.90000000000009,1136.0000000000002,0.0999
27,7386618.333333334,13946415.66666667,4005147.3333333298,4554650.0,786.6666666666669,51.73333333333367,1139.3333333333333,0.1
28,7427119.0,14307190.333333336,4151551.3333333307,4728520.0,798.0000000000002,66.80000000000018,1146.0666666666668,0.0986
29,7455990.0,14661763.66666667,4303553.666666667,4902220.0,800.0,58.0,1147.3333333333328,0.0995
30,7480767.333333334,15009431.66666667,4453514.333333334,5075150.0,800.0,48.0,1157.0333333333335,0.1011
31,7510592.333333334,15359397.000000004,4599234.666666668,5249570.0,800.0,73.80000000000018,1162.0,0.0981
32,7537354.0,15708937.66666667,4746473.666666669,5425110.0,800.0,99.80000000000018,1163.3333333333321,0.0959
