week,money_supply,grants_cumulative,arena_sink_cumulative,league_rake_cumulative,median_balance,p10_balance,p90_balance,pct_below_bronze_stake
1,2469367.333333333,800000.0,155882.6666666668,174750.0,251.33333333333331,22.0,408.0,0.137
2,2968978.333333333,1600000.0,297121.6666666666,333900.0,302.66666666666663,10.666666666666742,526.0,0.1619
3,3460171.333333333,2400000.0,449538.66666666657,490290.0,353.99999999999994,11.0,628.0000000000001,0.169
4,3959420.666666666,3200000.0,594349.3333333326,646230.0,405.33333333333326,12.0,708.6666666666664,0.1698
5,4467065.666666667,4000000.0,727694.3333333328,805240.0,456.66666666666663,12.000000000000227,792.0000000000001,0.157
6,4953993.666666667,4800000.0,879776.3333333333,966230.0,508.0,13.333333333333428,886.0,0.1489
7,5441680.333333334,5600000.0,1027819.666666667,1130500.0,559.3333333333335,14.0,956.0000000000001,0.1393
8,5940547.333333334,6400000.0,1163962.6666666665,1295490.0,610.6666666666667,14.000000000000165,1040.0,0.1374
9,6425073.666666668,7200000.0,1312286.3333333326,1462640.0,666.0,15.333333333333599,1116.0000000000002,0.1291
10,6909620.0,8000000.0,1459899.9999999986,1630480.0,717.3333333333336,17.33333333333353,1195.9999999999998,0.1255
11,7400708.333333334,8800000.0,1598991.6666666649,1800300.0,768.6666666666667,18.6666666666668,1259.733333333335,0.1204
12,7873178.333333334,9600000.0,1755171.666666665,1971650.0,820.0000000000002,20.600000000000488,1335.333333333333,0.1141
13,8351975.000000001,10400000.0,1903774.9999999977,2144250.0,873.5,35.9333333333334,1415.333333333333,0.1101
14,8834377.666666666,11200000.0,2047502.3333333326,2318120.0,926.3333333333333,40.0,1495.3333333333326,0.1071
15,9294762.666666668,12000000.0,2212767.333333333,2492470.0,974.0000000000005,42.0,1571.3333333333328,0.1045
16,9762223.333333332,12800000.0,2369826.6666666665,2667950.0,1038.0,48.6666666666673,1630.6666666666663,0.1008
17,10202542.666666666,13600000.0,2555267.333333332,2842190.0,1090.3333333333335,45.0,1710.6666666666663,0.103
18,10683235.666666664,14400000.0,2699514.3333333316,3017250.0,1136.0,64.90000000000009,1790.6666666666658,0.0991
19,11155139.666666666,15200000.0,2852520.333333331,3192340.0,1179.3333333333335,98.6666666666666,1872.2000000000007,0.0965
20,11620887.0,16000000.0,3009382.9999999977,3369730.0,1230.6666666666665,126.90000000000009,1929.9999999999993,0.0929
21,12081830.333333332,16800000.0,3170329.666666664,3547840.0,1285.9999999999995,137.33333333333385,2009.999999999999,0.0893
22,12540163.333333332,17600000.0,3333556.666666664,3726280.0,1340.0000000000014,152.9666666666666,2061.333333333333,0.0875
23,13014220.33333333,18400000.0,3480229.6666666637,3905550.0,1396.8333333333348,176.0000000000004,2145.333333333332,0.0836
24,13490692.666666664,19200000.0,3623637.3333333284,4085670.0,1453.6666666666686,206.0,2221.333333333333,0.0814
25,13974949.333333332,20000000.0,3759100.6666666614,4265950.0,1499.666666666666,212.0000000000005,2297.400000000001,0.0812
26,14425811.333333332,20800000.0,3927068.6666666605,4447120.0,1556.6666666666683,218.0,2356.7000000000007,0.0786
27,14888848.999999998,21600000.0,4082780.999999992,4628370.0,1615.1666666666656,221.0,2428.6666666666665,0.0775
28,15371153.333333332,22400000.0,4218786.666666657,4810060.0,1666.0,246.9000000000001,2512.066666666667,0.0753
29,15849364.666666664,23200000.0,4357805.333333324,4992830.0,1721.3333333333321,260.90000000000015,2572.000000000001,0.0737
30,16320887.333333332,24000000.0,4502922.666666659,5176190.0,1772.6666666666654,287.80000000000024,2648.0,0.071
31,16771387.333333332,24800000.0,4669242.666666659,5359370.0,1827.999999999999,286.60000000000065,2707.333333333334,0.071
32,17231462.333333336,25600000.0,4824887.666666657,5543650.0,1879.3333333333317,308.9000000000001,2775.3333333333344,0.0688
33,17692706.0,26400000.0,4979973.99999999,5727320.0,1930.6666666666652,315.8000000000002,2842.666666666668,0.0696
34,18163810.333333336,27200000.0,5123829.6666666595,5912360.0,1985.9999999999986,328.96666666666675,2918.6666666666683,0.067
35,18612973.333333336,28000000.0,5289956.66666666,6097070.0,2033.3333333333321,337.9000000000001,2994.6666666666683,0.0666
36,19042756.66666667,28800000.0,5475533.333333327,6281710.0,2084.6666666666674,334.5999999999989,3050.0000000000023,0.0668
37,19494999.0,29600000.0,5637460.99999999,6467540.0,2136.0,346.0,3122.3333333333367,0.0634
38,19966922.000000004,30400000.0,5779537.99999999,6653540.0,2191.333333333332,383.9000000000001,3189.333333333335,0.0629
39,20430048.33333334,31200000.0,5929451.666666656,6840500.0,2246.666666666665,394.0,3261.3333333333353,0.0599
40,20890239.33333334,32000000.0,6082190.666666653,7027570.0,2294.0,400.60000000000053,3324.6666666666697,0.0593
41,21352920.333333343,32800000.0,6232599.666666653,7214480.0,2349.333333333332,418.9000000000001,3396.6666666666692,0.0596
42,21837512.66666667,33600000.0,6359117.333333318,7403370.0,2400.666666666666,452.0000000000074,3456.0000000000027,0.0547
43,22315357.333333343,34400000.0,6492542.666666651,7592100.0,2452.0,456.00000000000074,3532.0000000000027,0.0541
44,22756812.333333343,35200000.0,6663217.66666665,7779970.0,2520.000000000001,457.93333333333374,3612.0000000000023,0.0557
45,23213872.66666668,36000000.0,6817627.333333311,7968500.0,2562.0,472.8000000000002,3667.3333333333367,0.0552
46,23649119.333333343,36800000.0,6993730.666666648,8157150.0,2602.0000000000027,472.0,3747.3333333333376,0.0545
47,24099885.66666668,37600000.0,7154684.333333312,8345430.0,2674.0,473.9333333333341,3810.6666666666692,0.055
48,24555907.00000001,38400000.0,7310752.999999978,8533340.0,2725.3333333333326,491.33333333333417,3874.066666666667,0.0558
49,25038018.66666668,39200000.0,7439871.333333312,8722110.0,2776.6666666666674,529.9333333333361,3942.000000000005,0.053
50,25503717.66666668,40000000.0,7583952.3333333125,8912330.0,2836.0000000000023,538.0,4014.000000000003,0.0503
51,25953040.66666668,40800000.0,7745499.333333313,9101460.0,2888.5,545.3000000000005,4073.3333333333385,0.0515
52,26404614.000000015,41600000.0,7904315.99999998,9291070.0,2938.666666666668,555.9000000000001,4149.333333333337,0.0512
