MAU,Fixo_R$,Receita_bruta_R$,Contribuicao_antes_fixo_R$,Resultado_operacional_R$
5000,75000,19478.0,15601.493613533838,-59398.506386466164
5000,110000,19478.0,15601.493613533838,-94398.50638646616
10000,75000,38956.0,31202.987227067675,-43797.01277293233
10000,110000,38956.0,31202.987227067675,-78797.01277293233
25000,75000,97390.0,78007.46806766918,3007.4680676691787
25000,110000,97390.0,78007.46806766918,-31992.53193233082
50000,75000,194780.0,156014.93613533836,81014.93613533836
50000,110000,194780.0,156014.93613533836,46014.93613533836
100000,75000,389560.0,312029.8722706767,237029.87227067671
100000,110000,389560.0,312029.8722706767,202029.87227067671
